2025-12-15 10:45:52 | Robo E-Processo | INFO | [OK] Processo 138230000759629 copiado e arquivos renomeados.

2025-12-15 10:45:52 | Robo E-Processo | INFO | 🔄 Iniciando fluxo para processo 108200013229231

2025-12-15 10:45:52 | Robo E-Processo | INFO | ID da pasta do digitalizador 'Michelly' encontrado: 1l3v111EDRiJrE12irZbL17SCLyYaBa9r
2025-12-15 10:45:57 | Robo E-Processo | INFO | [OK] Processo 108200013229231 copiado e arquivos renomeados.

2025-12-15 10:45:57 | Robo E-Processo | INFO | 🔄 Iniciando fluxo para processo 11974002726200932

2025-12-15 10:45:57 | Robo E-Processo | INFO | ID da pasta do digitalizador 'Beatriz' encontrado: 1fwlaT66511BgjP4qnWuJnt0h8_BFiZ8I
2025-12-15 10:46:04 | Robo E-Processo | INFO | [OK] Processo 11974002726200932 copiado e arquivos renomeados.

2025-12-15 10:46:04 | Robo E-Processo | INFO | 🔄 Iniciando fluxo para processo 11974002724200943

2025-12-15 10:46:04 | Robo E-Processo | INFO | ID da pasta do digitalizador 'Beatriz' encontrado: 1fwlaT66511BgjP4qnWuJnt0h8_BFiZ8I
2025-12-15 10:46:08 | Robo E-Processo | INFO | [OK] Processo 11974002724200943 copiado e arquivos renomeados.

2025-12-15 10:46:08 | Robo E-Processo | INFO | 🔄 Iniciando fluxo para processo 11974004427200932

2025-12-15 10:46:08 | Robo E-Processo | INFO | ID da pasta do digitalizador 'Beatriz' encontrado: 1fwlaT66511BgjP4qnWuJnt0h8_BFiZ8I
2025-12-15 10:46:16 | Robo E-Processo | INFO | [OK] Processo 11974004427200932 copiado e arquivos renomeados.

2025-12-15 10:46:16 | Robo E-Processo | INFO | 🔄 Iniciando fluxo para processo 11974004426200998

2025-12-15 10:46:16 | Robo E-Processo | INFO | ID da pasta do digitalizador 'Beatriz' encontrado: 1fwlaT66511BgjP4qnWuJnt0h8_BFiZ8I
2025-12-15 10:46:21 | Robo E-Processo | INFO | [OK] Processo 11974004426200998 copiado e arquivos renomeados.

2025-12-15 10:46:21 | Robo E-Processo | WARNING | ⚠️ Processos com erro:

2025-12-15 10:46:21 | Robo E-Processo | WARNING | Processo Nº - 10820000519200619 | Digitalizador: Beatriz | Erro: [AVISO] Pasta do processo: Nº - 10820000519200619 não encontrada.

2025-12-15 10:46:21 | Robo E-Processo | INFO | Processos com erro voltando para planilha.
2025-12-15 10:47:21 | Robo E-Processo | ERROR | [ERRO] Não foi possível finalizar a limpeza dos processos
Erro: [ERRO] ao buscar coluna: The read operation timed out
